Degree_Program,Subject_Code,Hour,Day_of_Week,Enrollment_Count,Room
AI,106550,17,Tuesday,42.0,2
AI,106551,15,Monday,47.0,1
AI,106551,15,Wednesday,47.0,1
AI,106552,15,Tuesday,44.87096774193548,2
AI,106552,17,Thursday,45.25,3
AI,106553,15,Monday,45.55172413793103,1
AI,106553,15,Wednesday,45.5,1
AI,106554,15,Thursday,45.0,1
AI,106554,17,Tuesday,49.0,2
AI,106555,17,Monday,42.5,1
AI,106556,17,Tuesday,41.5,2
AI,106557,15,Tuesday,17.161290322580644,4
AI,106558,14,Friday,49.0,1
AI,106558,15,Thursday,53.0,1
AI,106559,17,Tuesday,51.0,3
AI,106560,16,Monday,46.0,2
AI,106560,17,Monday,33.0,1
AI,106561,19,Thursday,21.0,1
AI,106561,19,Wednesday,21.0,1
AI,106562,15,Monday,35.0,2
AI,106562,18,Monday,55.0,2
AI,106564,15,Monday,41.5,2
AI,106565,16,Friday,52.5,2
AI,106565,17,Wednesday,52.5,3
AI,106566,17,Tuesday,41.0,3
AI,106567,15,Thursday,47.96774193548387,3
AI,106568,14,Monday,14.0,1
AI,106569,17,Wednesday,50.0,3
AI,106570,15,Monday,46.48275862068966,1
AI,106570,16,Friday,47.0,1
AI,106572,14,Friday,45.0,1
AI,106572,15,Wednesday,49.5,2
AI,106573,15,Tuesday,50.0,2
AI,106574,15,Tuesday,15.241379310344827,2
AI,106575,17,Wednesday,21.0,1
AI,106577,15,Tuesday,54.5,2
AI,106578,17,Monday,45.03448275862069,3
AI,106579,17,Tuesday,34.0,1
AI,106581,15,Thursday,50.0,1
AI,106581,15,Tuesday,51.0,1
AI,106582,15,Tuesday,27.103448275862068,3
AI,106583,15,Monday,11.0,1
AI,106584,17,Monday,52.5,2
AI,106584,17,Wednesday,52.0,2
AI,106585,15,Tuesday,15.5,2
AI,106587,15,Wednesday,38.0,2
AI,106589,14,Friday,40.0,3
AI,106590,17,Tuesday,12.0,1
AI,106593,14,Friday,25.0,1
AI,106593,15,Friday,18.5,2
AI,106593,16,Friday,12.0,1
AI,106594,15,Monday,21.333333333333332,3
AI,106594,17,Monday,14.0,1
AI,106595,18,Monday,35.0,1
AI,106598,17,Wednesday,43.0,2
Computer Engineering,102740,8,Friday,79.0,1
Computer Engineering,102740,12,Friday,50.5,1
Computer Engineering,102741,8,Wednesday,81.0,1
Computer Engineering,102742,8,Monday,82.48275862068965,1
Computer Engineering,102742,10,Monday,80.51724137931035,1
Computer Engineering,102742,15,Monday,30.551724137931036,3
Computer Engineering,102742,17,Monday,104.42857142857143,3
Computer Engineering,102743,8,Monday,40.54838709677419,1
Computer Engineering,102743,8,Thursday,37.5,1
Computer Engineering,102743,10,Monday,37.6,1
Computer Engineering,102743,10,Thursday,40.5,1
Computer Engineering,102743,12,Monday,32.193548387096776,3
Computer Engineering,102743,12,Thursday,31.868852459016395,3
Computer Engineering,102743,15,Monday,36.354838709677416,1
Computer Engineering,102743,17,Monday,38.5,2
Computer Engineering,102743,17,Thursday,36.354838709677416,1
Computer Engineering,102743,18,Thursday,40.0,1
Computer Engineering,102743,19,Thursday,37.0,1
Computer Engineering,102744,8,Monday,43.44827586206897,1
Computer Engineering,102744,8,Wednesday,41.46551724137931,5
Computer Engineering,102744,10,Monday,40.89473684210526,2
Computer Engineering,102744,10,Wednesday,43.0,1
Computer Engineering,102744,12,Monday,28.0,1
Computer Engineering,102744,12,Wednesday,28.0,1
Computer Engineering,102744,15,Monday,42.96551724137931,1
Computer Engineering,102744,15,Wednesday,36.25,3
Computer Engineering,102744,16,Monday,29.482758620689655,1
Computer Engineering,102745,8,Monday,73.0,1
Computer Engineering,102745,9,Monday,72.5,2
Computer Engineering,102745,16,Monday,61.5,1
Computer Engineering,102746,8,Tuesday,87.06451612903226,3
Computer Engineering,102746,10,Tuesday,87.54838709677419,2
Computer Engineering,102746,15,Tuesday,56.0,2
Computer Engineering,102747,8,Wednesday,78.5,1
Computer Engineering,102747,10,Wednesday,88.0,1
Computer Engineering,102747,17,Wednesday,82.5,2
Computer Engineering,102749,11,Tuesday,95.09677419354838,2
Computer Engineering,102750,9,Tuesday,102.5,2
Computer Engineering,102751,12,Wednesday,73.5,2
Computer Engineering,102752,8,Tuesday,106.0,1
Computer Engineering,102753,8,Monday,38.03448275862069,1
Computer Engineering,102753,8,Thursday,38.0,2
Computer Engineering,102753,12,Monday,36.51724137931034,1
Computer Engineering,102753,12,Thursday,36.5,1
Computer Engineering,102754,8,Friday,83.0,1
Computer Engineering,102757,11,Monday,101.54545454545455,2
Computer Engineering,102758,10,Thursday,103.5,1
Computer Engineering,102759,8,Wednesday,85.5,2
Computer Engineering,102759,12,Wednesday,78.0,1
Computer Engineering,102760,8,Thursday,71.33333333333333,2
Computer Engineering,102760,10,Thursday,66.33333333333333,3
Computer Engineering,102760,12,Thursday,20.0,1
Computer Engineering,102760,15,Thursday,20.0,1
Computer Engineering,102761,12,Thursday,29.612903225806452,1
Computer Engineering,102761,12,Tuesday,29.5,1
Computer Engineering,102762,12,Thursday,35.5,3
Computer Engineering,102762,12,Tuesday,35.5,1
Computer Engineering,102763,12,Monday,85.34482758620689,2
Computer Engineering,102764,8,Friday,40.03225806451613,1
Computer Engineering,102764,8,Wednesday,42.54838709677419,1
Computer Engineering,102764,10,Friday,40.564516129032256,2
Computer Engineering,102764,10,Wednesday,40.03225806451613,2
Computer Engineering,102764,12,Friday,40.516129032258064,1
Computer Engineering,102764,12,Wednesday,39.54838709677419,2
Computer Engineering,102764,15,Friday,33.25,2
Computer Engineering,102764,15,Wednesday,36.75,2
Computer Engineering,102764,17,Friday,36.768115942028984,2
Computer Engineering,102764,17,Wednesday,33.25,2
Computer Engineering,102765,8,Tuesday,39.016129032258064,3
Computer Engineering,102765,10,Thursday,40.0,2
Computer Engineering,102765,10,Tuesday,41.03448275862069,1
Computer Engineering,102765,11,Thursday,38.0,2
Computer Engineering,102765,12,Thursday,41.0,1
Computer Engineering,102765,12,Tuesday,40.5,2
Computer Engineering,102765,13,Thursday,40.5,1
Computer Engineering,102765,15,Tuesday,41.5,1
Computer Engineering,102765,16,Thursday,41.0,1
Computer Engineering,102765,17,Thursday,35.170212765957444,2
Computer Engineering,102765,17,Tuesday,31.5,1
Computer Engineering,102767,8,Thursday,39.666666666666664,2
Computer Engineering,102767,8,Tuesday,39.666666666666664,2
Computer Engineering,102767,10,Thursday,34.813559322033896,3
Computer Engineering,102767,10,Tuesday,34.5,3
Computer Engineering,102767,12,Thursday,36.5,2
Computer Engineering,102767,12,Tuesday,36.5,2
Computer Engineering,102767,15,Tuesday,39.0,4
Computer Engineering,102767,17,Thursday,39.0,3
Computer Engineering,102767,19,Thursday,43.0,2
Computer Engineering,102767,19,Tuesday,43.0,1
Computer Engineering,102768,8,Friday,86.03225806451613,1
Computer Engineering,102768,10,Friday,70.2258064516129,1
Computer Engineering,102768,15,Friday,85.5,1
Computer Engineering,102769,8,Thursday,89.0,3
Computer Engineering,102769,10,Thursday,89.0,1
Computer Engineering,102769,15,Thursday,84.90322580645162,2
Computer Engineering,102771,8,Tuesday,74.96551724137932,2
Computer Engineering,102771,9,Friday,75.0,1
Computer Engineering,102771,10,Tuesday,75.93103448275862,2
Computer Engineering,102771,11,Friday,76.0,1
Computer Engineering,102771,15,Friday,65.5,2
Computer Engineering,102771,15,Tuesday,65.5,2
Computer Engineering,102772,8,Wednesday,73.0,1
Computer Engineering,102772,10,Wednesday,75.0,1
Computer Engineering,102772,15,Wednesday,58.5,2
Computer Engineering,102772,17,Wednesday,64.0,2
Computer Engineering,102773,8,Monday,96.0,1
Computer Engineering,102774,8,Thursday,101.72413793103448,3
Computer Engineering,102774,8,Tuesday,39.5,2
Computer Engineering,102774,9,Tuesday,40.5,2
Computer Engineering,102774,10,Thursday,75.0,1
Computer Engineering,102774,10,Tuesday,37.0,1
Computer Engineering,102774,11,Tuesday,41.5,1
Computer Engineering,102774,15,Thursday,34.5,2
Computer Engineering,102774,18,Tuesday,27.0,2
Computer Engineering,102775,8,Wednesday,82.5,1
Computer Engineering,102775,10,Wednesday,81.55172413793103,1
Computer Engineering,102775,15,Wednesday,50.3968253968254,2
Computer Engineering,102776,10,Thursday,43.0,1
Computer Engineering,102776,10,Tuesday,43.0,1
Computer Engineering,102777,12,Thursday,37.0,1
Computer Engineering,102778,10,Wednesday,38.5,1
Computer Engineering,102781,12,Tuesday,83.48387096774194,2
Computer Engineering,102782,8,Tuesday,38.5,1
Computer Engineering,102782,10,Monday,38.5,1
Computer Engineering,102782,12,Monday,33.5,1
Computer Engineering,102782,12,Tuesday,33.5,1
Computer Engineering,102783,8,Friday,43.0,1
Computer Engineering,102783,8,Wednesday,43.0,1
Computer Engineering,102783,10,Friday,40.0,1
Computer Engineering,102783,10,Wednesday,40.0,1
Computer Engineering,102784,10,Tuesday,85.0,2
Computer Engineering,102785,12,Wednesday,77.5,1
Computer Engineering,102786,10,Thursday,75.0,1
Computer Engineering,102786,10,Tuesday,62.0,1
Computer Engineering,102787,10,Thursday,87.0,1
Computer Engineering,102787,10,Tuesday,76.0,1
Computer Engineering,102788,10,Monday,80.53333333333333,1
Computer Engineering,102789,8,Friday,81.58064516129032,1
Computer Engineering,102790,8,Tuesday,75.61290322580645,2
Computer Engineering,102791,8,Thursday,77.0,1
Computer Engineering,102792,9,Friday,37.806451612903224,2
Computer Engineering,102793,9,Tuesday,27.838709677419356,2
Computer Engineering,102794,10,Thursday,33.5,2
Computer Engineering,102794,12,Tuesday,12.5,1
Computer Engineering,103801,8,Wednesday,75.5,1
Computer Engineering,103801,10,Wednesday,72.5,1
Computer Engineering,103801,17,Wednesday,86.0,3
Computer Engineering,103802,8,Monday,73.06666666666666,1
Computer Engineering,103802,10,Monday,73.06666666666666,1
Computer Engineering,103802,15,Monday,51.0,1
Computer Engineering,103803,8,Friday,65.0,1
Computer Engineering,103803,10,Friday,67.5,1
Computer Engineering,103803,15,Friday,42.5,2
Computer Engineering,103804,8,Monday,83.0,2
Computer Engineering,103804,9,Monday,78.0,1
Computer Engineering,103804,15,Monday,64.5,1
Computer Engineering,103805,8,Monday,37.5,1
Computer Engineering,103805,8,Thursday,38.5,2
Computer Engineering,103805,10,Monday,38.0,1
Computer Engineering,103805,10,Thursday,38.75,4
Computer Engineering,103805,12,Monday,39.5,2
Computer Engineering,103805,15,Thursday,45.5,1
Computer Engineering,103805,18,Monday,45.5,2
Computer Engineering,103806,8,Friday,67.0,1
Computer Engineering,103806,8,Monday,67.03448275862068,2
Computer Engineering,103806,10,Friday,70.0,1
Computer Engineering,103806,10,Monday,70.0,2
Computer Engineering,103806,15,Monday,73.66666666666667,3
Computer Engineering,103806,16,Friday,73.66666666666667,3
Computer Engineering,103807,8,Thursday,74.5,1
Computer Engineering,103807,10,Thursday,80.41379310344827,2
Computer Engineering,103807,15,Thursday,60.5,1
Computer Engineering,103807,17,Thursday,63.0,1
Computer Engineering,105072,10,Wednesday,20.5,1
Computer Engineering,105072,12,Monday,20.482758620689655,1
Computer Engineering,105073,8,Wednesday,19.0,1
Computer Engineering,105073,10,Friday,19.0,1
Computer Engineering,105075,8,Monday,35.10344827586207,1
